no,maternal_plant,maternal_plant_code,country_orgin,seed_color,population,warm_strat_date,trait_measure_date,germ_in_CS,germination_11-29,germination_12-1,germination_12-3,germination_12-5,germination_12-8,germination_12-10,days_to_germinate,leaf_height_cm,rooting_depth_cm,root_tip_count,no_primary_roots,no_leaves,Column5,Column6
48,219,E,Afghanistan,All green,PI 219971,11/29/2021,12/10/2021,,0,1,1,1,1,1,,5.5,0.5,1,1,1,,
49,219,E,Afghanistan,All green,PI 219971,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
50,219,E,Afghanistan,All green,PI 219971,11/29/2021,12/10/2021,,0,0,1,1,1,1,,3.5,1.6,2,1,1,,
51,104,F,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
52,104,F,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
53,104,F,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
54,104,F,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
55,104,F,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
56,104,F,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
57,104,F,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
58,104,F,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,0,0,1,1,1,1,,5.3,1.4,5,1,1,,
59,104,F,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,0,0,0,1,1,1,,,,,,,,
60,104,F,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,2,0.6,1,1,1,,
61,140,G,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,5.7,4.3,2,1,1,,
62,140,G,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
63,140,G,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,1,1,1,1,1,1,,6.5,4,7,1,1,,
64,140,G,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,1,1,1,1,1,1,,7.3,3.1,5,1,2,,
65,140,G,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,1,1,1,1,1,1,,6.8,3.5,2,1,1,,
66,140,G,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,1,1,1,1,1,1,,6.7,3.5,2,1,1,,
67,140,G,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,1,1,1,1,1,1,,8.2,3,3,1,1,,
68,140,G,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,1,1,1,1,1,1,,6.5,3,3,1,1,,
69,140,G,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,1,1,1,1,1,1,,6,4,2,1,2,,
70,140,G,Turkey,some brown and some green,PI 689090,11/29/2021,12/10/2021,,1,1,1,1,1,1,,8.1,3.5,3,1,1,,
71,212,H,Turkey,All brown,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
72,212,H,Turkey,All brown,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
73,212,H,Turkey,All brown,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
74,212,H,Turkey,All brown,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
75,212,H,Turkey,All brown,PI 689090,11/29/2021,12/10/2021,,0,0,0,0,0,0,,,,,,,,
