"","no","maternal_plant","maternal_plant_code","country_origin","seed_color","population","warm_strat_date","trait_measure_date","germ_in_CS","germination_11.29","germination_12.1","germination_12.3","germination_12.5","germination_12.8","germination_12.10","days_to_germinate","leaf_height_cm","rooting_depth_cm","root_tip_count","no_primary_roots","no_leaves","sample","germ_date","trt"
"35",35,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,6,1.9,2,1,2,"s35D","11-29-2021","D 35"
"36",36,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,5.5,1.4,1,1,1,"s36D","12-01-2021","D 36"
"37",37,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s37D",NA,"D 37"
"38",38,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s38D",NA,"D 38"
"39",39,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",1,1,1,1,1,1,1,1,6.6,2.3,1,1,1,"s39D","11-29-2021","D 39"
"40",40,201,"D","Afghanistan","All brown","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,2,0.8,1,1,1,"s40D","12-01-2021","D 40"
"41",41,219,"E","Afghanistan","All green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s41E",NA,"E 41"
"42",42,219,"E","Afghanistan","All green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s42E",NA,"E 42"
"43",43,219,"E","Afghanistan","All green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s43E",NA,"E 43"
"44",44,219,"E","Afghanistan","All green","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,5.6,2,1,1,1,"s44E","12-01-2021","E 44"
"45",45,219,"E","Afghanistan","All green","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,7.2,1,3,1,1,"s45E","12-01-2021","E 45"
"46",46,219,"E","Afghanistan","All green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,1,1,1,8,2.1,1,1,1,1,"s46E","12-05-2021","E 46"
"47",47,219,"E","Afghanistan","All green","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,7.5,1.5,2,1,1,"s47E","12-01-2021","E 47"
"48",48,219,"E","Afghanistan","All green","PI 219971","11/29/2021","12/10/2021",0,0,1,1,1,1,1,3,5.5,0.5,1,1,1,"s48E","12-01-2021","E 48"
"49",49,219,"E","Afghanistan","All green","PI 219971","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s49E",NA,"E 49"
"50",50,219,"E","Afghanistan","All green","PI 219971","11/29/2021","12/10/2021",0,0,0,1,1,1,1,5,3.5,1.6,2,1,1,"s50E","12-03-2021","E 50"
"51",51,104,"F","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s51F",NA,"F 51"
"52",52,104,"F","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s52F",NA,"F 52"
"53",53,104,"F","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s53F",NA,"F 53"
"54",54,104,"F","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s54F",NA,"F 54"
"55",55,104,"F","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s55F",NA,"F 55"
"56",56,104,"F","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s56F",NA,"F 56"
"57",57,104,"F","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"s57F",NA,"F 57"
"58",58,104,"F","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",0,0,0,1,1,1,1,5,5.3,1.4,5,1,1,"s58F","12-03-2021","F 58"
"59",59,104,"F","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,1,1,1,8,NA,NA,NA,NA,NA,"s59F","12-05-2021","F 59"
"60",60,104,"F","Turkey","some brown and some green","PI 689090","11/29/2021","12/10/2021",0,0,0,0,0,0,0,NA,2,0.6,1,1,1,"s60F",NA,"F 60"
